X, Y
3.6145053404093925, 25.431702070294143
3.734411771693674, 25.714333860278195
3.8582959401533836, 26.007698503046456
3.9862898019552375, 26.277808631448934
4.1185296907371525, 26.533608289472475
4.255156462825062, 26.769731050724978
4.396315647267103, 27.002276194382745
4.542157600844999, 27.229454911648407
4.692837668227722, 27.45663362891407
4.848516347438055, 27.696334007761305
5.009359460808293, 27.932456769013804
5.17553833160715, 28.17036833906367
5.347229966526058, 28.3993358651267
5.524617244219188, 28.62293696479763
5.707889110098045, 28.83043878529225
5.897240777588111, 29.03257417939477
6.092873936061918, 29.231131955902555
6.294996965670016, 29.42253449722087
6.503825159298684, 29.608570612147084
6.719580951890788, 29.796395535870662
6.942494157374059, 29.97169879801267
7.172802213449143, 30.150579677749413
7.410750434498185, 30.32409413109405
7.656592272883314, 30.497608584438694
7.910589588913357, 30.67112303778333
8.17301292976634, 30.832115829546403
8.444141817664892, 31.002052665296308
8.724265047611446, 31.168411883451476
9.01368099500047, 31.329404675214548
9.312697933435274, 31.486819849382883
9.62163436308798, 31.659056582157973
9.94081934995244, 31.80880543290902
10.270592876351355, 31.96085418068525
10.61130620307107, 32.11826935485358
10.963322243509644, 32.27747333781928
11.327015950236861, 32.43309970319025
11.702774714377796, 32.58693725976384
12.090998778245417, 32.71930911076904
12.492101661661772, 32.86241381455843
12.906510602421736, 32.998363283158355
13.334667011368646, 33.136101560555645
13.777026942566412, 33.268473411560834
14.234061579068959, 33.40084526256602
14.706257734804492, 33.52963949597648
15.194118373109019, 33.66201134698167
15.698163142461633, 33.79438319798686
16.218928929991993, 33.92496624019468
16.756970433349807, 34.0501828560104
17.312860751545223, 34.184343515812955
17.887191995389596, 34.30956013162868
18.480575918186904, 34.434776747444396
19.09364456734735, 34.561782172057484
19.72705095761756, 34.68163236148111
20.381469766644187, 34.80506016849945
21.05759805361193, 34.9123886963415
21.756156001721493, 35.02866126817038
22.477887685298153, 35.137778604809796
23.223561862348266, 35.25583998543605
23.993972793407643, 35.37032374846756
24.789941087554293, 35.48301870270171
25.61231457648641, 35.606446509720065
26.461969217596714, 35.72987431673842
27.339810027005274, 35.85330212375677
28.24677204354419, 35.97672993077512
29.183821324721457, 36.09836892899611
30.151955975724373, 36.21643030962235
31.152207212558995, 36.329125263856504
32.18564046045768, 36.43466498290118
33.253356488724855, 36.547359937135326
34.35649258322995, 36.64574442099054
35.49622375779597, 36.77274984560363
36.67376400577455, 36.88007837344567
37.890367593140205, 36.98561809249035
39.1473303944812, 37.08758019394029
40.44599127331042, 37.18954229539023
41.78773350816585, 37.29508201443491
43.17398626602047, 37.39704411588485
44.606226124570156, 37.50079502613217
46.08597864502183, 37.59917950998737
47.61481999705655, 37.69219756745048
49.194378637698584, 37.792370860103055
50.82633704587901, 37.903277005539834
52.51243351454077, 38.00881672458452
54.25446400219484, 38.11077882603446
56.054284045899045, 38.21989616267388
57.913810737697446, 38.32722469051592
59.8350247666257, 38.4381308359527
61.81997252845692, 38.54724817259211
63.870768305435924, 38.66173193562363
65.98959651832286, 38.781582125047244
68.17871405314588, 38.89248827048402
70.44045266514038, 39.03022654788131
72.77722146243578, 39.1464991197102
75.19150947213565, 39.26813811793119
77.68588829152363, 39.3826218809627
80.26301482722015, 39.489950408804745
82.92563412520663, 39.59906774544416
85.67658229473224, 39.70460746448884
88.51878952921697, 39.81193599233088
91.45528322737002, 39.91389809378082
94.48919121784624, 40.015860195230765
97.6237450908769, 40.10887825269388
100.1169440720423, 40.18997091817453
