X, Y
3.6145053404093925, 22.727023168674595
3.734411771693674, 22.954201885940257
3.8582959401533836, 23.240411293519045
3.9862898019552375, 23.476534054771545
4.1185296907371525, 23.71623443361878
4.255156462825062, 23.927313871708137
4.396315647267103, 24.136604501000125
4.542157600844999, 24.33337346871054
4.692837668227722, 24.524776010028855
4.848516347438055, 24.71617855134717
5.009359460808293, 24.896848239881283
5.17553833160715, 25.077517928415393
5.347229966526058, 25.256398808152134
5.524617244219188, 25.435279687888876
5.707889110098045, 25.610582950030885
5.897240777588111, 25.789463829767627
6.092873936061918, 25.9611894743149
6.294996965670016, 26.13649273645691
6.503825159298684, 26.31000718980155
6.719580951890788, 26.481732834348822
6.942494157374059, 26.653458478896095
7.172802213449143, 26.8180288882539
7.410750434498185, 26.973655253624862
7.656592272883314, 27.12391519260373
7.910589588913357, 27.26165347000102
8.17301292976634, 27.40654698258778
8.444141817664892, 27.544285259985074
8.724265047611446, 27.68381234617973
9.01368099500047, 27.828705858766494
9.312697933435274, 27.982543415340093
9.62163436308798, 28.13638097191369
9.94081934995244, 28.284852102095186
10.270592876351355, 28.438689658668785
10.61130620307107, 28.587160788850284
10.963322243509644, 28.732054301437042
11.327015950236861, 28.868003770036967
11.702774714377796, 29.023630135407934
12.090998778245417, 29.18641173596837
12.492101661661772, 29.265119323052538
12.906510602421736, 29.402857600449828
13.334667011368646, 29.535229451455017
13.777026942566412, 29.674756537649678
14.234061579068959, 29.814283623844336
14.706257734804492, 29.95559951883636
15.194118373109019, 30.073660899462613
15.698163142461633, 30.21318798565727
16.218928929991993, 30.33482698387826
16.756970433349807, 30.45825479089661
17.312860751545223, 30.57094974513076
17.887191995389596, 30.696166360946478
18.480575918186904, 30.810650123977993
19.09364456734735, 30.93050031340161
19.72705095761756, 31.04140645883839
20.381469766644187, 31.164834265856744
21.05759805361193, 31.27216279369879
21.756156001721493, 31.386646556730305
22.477887685298153, 31.502919128559185
23.223561862348266, 31.622769317982804
23.993972793407643, 31.746197125001157
24.789941087554293, 31.866047314424776
25.61231457648641, 31.991263930240493
26.461969217596714, 32.11826935485358
27.339810027005274, 32.243485970669305
28.24677204354419, 32.36870258648502
29.183821324721457, 32.48855277590864
30.151955975724373, 32.610191774129625
31.152207212558995, 32.72467553716114
32.18564046045768, 32.855258579368964
33.253356488724855, 32.951854254426806
34.35649258322995, 33.044872311889904
35.49622375779597, 33.14862322213722
36.67376400577455, 33.25058532358716
37.890367593140205, 33.3525474250371
39.1473303944812, 33.45987595287915
40.44599127331042, 33.5725709071133
41.78773350816585, 33.68705467014481
43.17398626602047, 33.8033272419737
44.606226124570156, 33.914233387410476
46.08597864502183, 34.02871715044199
47.61481999705655, 34.14141210467614
49.194378637698584, 34.25589586770766
50.82633704587901, 34.3632243955497
52.51243351454077, 34.472341732189115
54.25446400219484, 34.57251502484169
56.054284045899045, 34.678054743886364
57.913810737697446, 34.796116124512615
59.8350247666257, 34.89986703475993
61.81997252845692, 35.00361794500724
63.870768305435924, 35.10736885525455
65.98959651832286, 35.216486191893964
68.17871405314588, 35.32023710214128
70.44045266514038, 35.42041039479385
72.77722146243578, 35.5277389226359
75.19150947213565, 35.62970102408584
77.68588829152363, 35.728085507941046
80.26301482722015, 35.840780462175196
82.92563412520663, 35.92127685805673
85.67658229473224, 36.0107172979251
88.51878952921697, 36.110890590577675
91.45528322737002, 36.21106388323025
94.48919121784624, 36.30587074949072
97.6237450908769, 36.4060440421433
100.1169440720423, 36.477596394038
